Airport name,IATA code
آبادان,ABD
سهند,ACP
زابل,ACZ
آدانا,ADA
ازمیر,ADB
اردبیل,ADU
جزیره ابوموسی,AEU
آغاجاری,AKW
قیصریه (قیصریه),ASR
ابوظبی,AUH
اهواز,AWZ
یزد,AZD
بحرین,BAH
بندرلنگه,BDH
بیروت,BEY
بغداد,BGW
بجنورد,BJB
بودروم (میلاس),BJV
بانکوک,BKK
بندرعباس,BND
باتومی,BUS
بوشهر,BUZ
بم,BXR
گوانگ‌ژو,CAN
پاریس,CDG
کلن بن,CGN
شهرکرد,CQD
دمشق,DAM
دزفول,DEF
دهلی,DEL
دالامان,DLM
دنیزلی,DNZ
دوحه,DOH
دبی,DXB
دوشنبه,DYU
اربیل,EBL
آنکارا (اَسَن‌بوغا),ESB
ایروان,EVN
فرانکفورت,FRA
گرگان,GBT
گچساران,GCH
قشم,GSM
باکو,GYD
هامبورگ,HAM
همدان,HDM
هنگ‌کنگ,HKG
پوکت,HKT
بهرگان,IAQ
اصفهان,IFN
ایرانشهر,IHR
ایلام,IIL
امام خمینی,IKA
ماکو,IMQ
استانبول,IST
سلیمانیه,ISU
جهرم,JAR
جده,JED
جاسک,JSK
زنجان,JWN
جیرفت,JYR
کابل,KBL
قندهار,KDH
کرمان,KER
خرم‌آباد,KHD
خرم آباد,KHD
کراچی,KHI
خارگ,KHK
خارک,KHK
خوی,KHY
كيش,KIH
کرکوک,KIK
کرمانشاه,KSH
کوالا لامپور,KUL
کویت,KWI
پولکوو,LED
لامرد,LFM
لاهور,LHE
لندن,LHR
لارستان,LRR
لاوان,LVP
مسقط,MCT
مدینه,MED
ماکائو,MFM
مشهد,MHD
ماهشهر,MRX
میلانو مالپنسا,MXP
مزارشریف,MZR
نجف,NJF
نوشهر,NSH
صحار,OHS
ارومیه,OMH
اروميه,OMH
پکن,PEK
پارس‌آباد,PFQ
پارس آبادمغان,PFQ
عسلویه,PGU
داکسینگ پکن,PKX
شانگهای پودنگ,PVG
رشت,RAS
رفسنجان,RJN
رامسر,RZR
اسپارتا,SAR
استانبول (صبیحه گوکچن),SAW
آکتایو,SCO
آقتائو اکتاوو,SCO
سنندج,SDG
شارجه,SHJ
سمنان,SNX
ساری,SRY
سیری,SXI
سیرجان,SYJ
شیراز,SYZ
شنژن بن,SZX
تفلیس,TBS
تبریز,TBZ
طبس,TCX
تهران,THR
مهرآباد,THR
اورومچی,URC
وین,VIE
ونوکووا,VKO
بیرجند,XBJ
یاسوج,YES
زاهدان,ZAH
چابهار,ZBR
تنب بزرگ,تنب بزرگ
سراوان,سراوان
